No,Tahun/Year,Doc. Type,Mitra/Partner,Cakupan/Scope,PIC (Ext),Phone,PIC (Int),No. Document (Int),No. Document (Ext),Doc. Date Created,Wadek II,Wadek I,Ka. Bag. KST,Dir. SPIO,Ka. Ur. Legal,Ka. Bag. Sekpim,Dir. SPS,Dekan,Warek I,Rektor,Signing Type,Doc. Date Signed,Hardcopy,Softcopy,Doc. Link,Valid Until,Tahun,Notes
28,2025,MoA,CPA Australia,International,Aslina,,Prodi Akuntansi,,,13-Feb-2025,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Ceremonial (Int),13-Feb-2025,Available,Available,,,,
29,2025,MoA,PT. Sembodo Rental Indonesia,National,,,Prodi LM,,,,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,Dokumen di Prodi
30,2025,MoA,The Papandayan Hotel,National,,,Prodi LM,,,28-Feb-2025,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,Dokumen di Prodi
31,2025,MoA,Grafika Cikole,National,,,Yuhana Astuti,,,28-Feb-2025,Approved,Approved,,,,,,,,,,,,,,,,Dokumen di Prodi
32,2025,MoU,Sekolah Tinggi Manajemen PPM Jakarta,National,,,Ahmad Yunani,,,4-Mar-2025,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Desk-to-desk,,,,,,,
33,2025,MoA,Universitas Winaya Mukti (UNWIM),National,,,Tri Utami,,,4-Mar-2025,Approved,Approved,,,,,,,,,,,,,,,,Dokumen di Prodi
34,2025,MoA,Mini MM dengan PT. Telkom Indonesia,National,,,Ajeng,,,22-Apr-2025,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Desk-to-desk,29-Apr-2025,Available,Available,,Perpanjang Otomatis,,
35,2025,MoA,Nexmu Sdn. Bhd. Malaysia (LSS),International,,,Putri,,,28-Apr-2025,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,Dokumen di Mitra
36,2025,MoA,PT. HGI,National,,,Nurafni Rubiyanti,0813-9500-0488,,7-Mei-2025,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Ceremonial (Int),21-Mei-2025,Available,Available,,,,Dokumen di Mitra
37,2025,MoA,DINAS KEBUDAYAAN DAN PARIWISATA KAB. BANDUNG,National,,,,,,,Approved,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,Dokumen di Prodi
38,2025,MoU,EKUITAS,National,,,,,,,Approved,Approved,Approved,Approved,Approved,,Approved,Approved,,,Desk-to-desk,,Available,Available,,,,
39,2025,MoA,BSSN,National,,,,,,,,,,,,,,,,,,,,,,,,Dokumen di BSSN
40,2025,MoA,INNOVATIVE UNIVERSITY COLLEGE,International,,,,,,,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,Sudah di Dekanat 
41,2025,MoU,DKM Al-Hidayah,National,,,,,,10-Jul-2025,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,Dokumen di Mitra
42,2025,MoA,BRIN,National,,,Maya Ariyanti,,,,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,Dokumen di Mitra
43,2025,MoA,EKUITAS,National,,,Maya Irjayanti,,,,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,paraf bu Irni
44,2025,MoA,Journal of Accounting and Investment (JAI),National,,,Maya Irjayanti,,,15-Jul-2025,Approved,Approved,Approved,Approved,Approved,,Approved,Approved,,,Desk-to-desk,26-Agu-2025,Not Available,Available,,,,
45,2025,MoA,Mini MM dengan Telkom Access,National,,,Ajeng ,,,15-Jul-2025,Approved,Approved,Approved,Approved,Approved,,Approved,Approved,,,Desk-to-desk,19-Jun-2025,Available,Available,,,,
46,2025,MoU,PANDI,National,,,Helni,,,24-Jul-2025,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,belum diambil mitra
47,2025,MoA,JASWITA,National,,,Prodi LM,,,31-Jul-2025,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Desk-to-desk,,Available,Available,,,,
48,2025,MoA,English Now (EF),National,,,Prodi Adbis,,,29-Agu-2025,Approved,Approved,,,,,,,,,,,,,,,,Legal SPIO
49,2025,IA,Universitas Lambung Mangkurat (SCBTII),National,,,Galuh Tresna Mukti,,,26-Agu-2025,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,,Desk-to-desk,,,,,,,
50,2025,MoA,Universitas Esa Unggul,National,,,Galuh Tresna Mukti,,,,Approved,Approved,,,,,,,,,,,,,,,,
51,2025,IA,Universitas Esa Unggul (SCBTII),National,,,Galuh Tresna Mukti,,,,Approved,,,,,,,,,,,,,,,,,
52,2025,MoA,JOURNAL ON INFORMATICS VISUALIZATION AND SOCIAL COMPUTING (JIVSC),National,,,Yusza,,,,Approved,,,,,,,,,,,,,,,,,Legal
53,2025,MoA,"INTERNATIONAL JOURNAL OF SUSTAINABLE BUSINESS, MANAGEMENT AND ACCOUNTING (IJSBMA)",National,,,Yusza,,,,Approved,,,,,,,,,,,,,,,,,Legal
54,2025,MoA,Sekolah Tinggi Farmasi Indonesia (STFI),National,,,Nurvita,,,,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,Berkas perlu dikirim ke mitra
55,2025,MoA,"SEKOLAH INDONESIA KUALA LUMPUR, MALAYSIA",International,,,Dwi Fitrizal,,,26-Sep-2025,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,Berkas dibawa pak Dwi
56,2025,MoA,Nexmu Sdn. Bhd. Malaysia (LSS) Batch 15,International,,,Cak Faris,,,3-Okt-2025,Approved,Approved,Approved,Approved,Approved,,,,,,,,,,,,,Berkas di prodi
57,2025,MoA,INSTITUT AKUNTAN PUBLIK INDONESIA (IAPI),National,,,Prodi Akuntansi,,,6-Okt-2025,Approved,Approved,Approved,Approved,Submitted,,,,,,,,,,,,,
58,2025,MoA,Four Points Hotel Bandung,National,,,Prodi LM,,,6-Okt-2025,,,,,,,,,,,,,,,,,,Prodi
59,2025,MoA,PT. Langit Biru Membiru,National,,,Prodi LM,,,6-Okt-2025,,,,,,,,,,,,,,,,,,Prodi
60,2025,MoU,TPCC (MINI MM),National,,,Prodi MM,,,,,,,,,,,,,,,,,,,,,Prodi
61,2025,MoA,CHENGDU,International,,,FEB,,,,,,,,,,,,,,,,,,,,,LEGAL
62,2025,MoU,AAEW,International,,,Prodi S2 Akuntansi,,,,,,,,,,,,,,,,,,,,,Belum 2 bahasa
63,2025,MoA,DINAS PARIWISATA KABUPATEN SUBANG,National,,,Vigory,,,,Approved,Approved,Approved,Approved,Submitted,,,,,,,,,,,,,LEGAL
64,2025,MoA,PT. Dinova Kanaya Pratama,National,,,Prodi Bisnis Digital,,,17-Nov-2025,Approved,Approved,Approved,Approved,Submitted,,,,,,,,,,,,,SPIO
65,2025,MoA,International Islamic University Malaysia (IIUM),International,,,Irni Yunita,,,,,,,,,,,,,,,,,,,,,Drafting
66,2025,MoA,University of Applied Sciences Ruhr West,International,,,Irni Yunita,,,,,,,,,,,,,,,,,,,,,
