ContractManagementCategory,responsibility,quarterly,unit,weight,target,realization,max,min,Input,Monitor
Financial,Operating Ratio & Cash Collection Telkom University (Common Indikator),TW-3,%,2.5,100.0,106.17,120.0,80.0,,
NonFinancial,Kepuasan Mahasiswa (EDOM),TW-3,%,,,,,,,
NonFinancial,Customer Satisfaction Index,TW-3,%,,,,,,"86,81",
InternalBusinessProcess,Lulusan mendapat pekerjaan yang layak,TW-3,%,10.0,18.0,57.56,110.0,80.0,,
InternalBusinessProcess,Kelulusan Tepat Waktu,TW-3,%,10.0,57.0,73.52,110.0,80.0,,
InternalBusinessProcess,DO dan Undur Diri (Turn Over) Mahasiswa Angkatan Habis Masa Studi,TW-3,%,10.0,15.0,11.98,110.0,80.0,,
InternalBusinessProcess,Kelas yang kolaboratif dan partisipatif,TW-3,%,10.0,60.0,89.3,110.0,80.0,,
InternalBusinessProcess,Mahasiswa mendapat pengalaman di luar kampus,TW-3,%,,,,,,,https://bpa.telkomuniversity.ac.id/dashboard-mahasiswa/
InternalBusinessProcess,Jumlah kerjasama infrastruktur laboratorium,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Publikasi Terindex Scopus / WoS,TW-3,Jumlah,10.0,160.0,421.2,110.0,80.0,,
InternalBusinessProcess,Penelitian dan abdimas yang didanai pihak eksternal,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Peningkatan Sitasi Baru dari paper yang terindeks,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,International Publication Collaboration,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Desa Binaan,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Prestasi kompetisi (tingkat Internasional/Nasional/Provinsi),TW-3,Skor,,,,,,,
InternalBusinessProcess,Jumlah pendanaan hibah kompetisi belmawa (termasuk innovillage),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah dosen yang terlibat membina kompetisi minimal tingkat nasional (Keterlibatan Membimbing),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Prodi Kelas Internasional dengan Dual/Joint Degree Aktif minimal submit kemendikbud,TW-3,Jumlah,15.0,3.0,3.0,110.0,80.0,,
InternalBusinessProcess,Kesiapan Jumlah mahasiswa inbound mobility,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Mahasiswa outbound mobility (short dan long program),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Performansi Dosen S3 (Sesuai SK yang Ditetapkan),TW-3,%,,,,,,,
InternalBusinessProcess,"Performansi terkait JFA Lektor, Lektor Kepala, dan Guru Besar (Sesuai SK yang Ditetapkan)",TW-3,%,,,,,,,
InternalBusinessProcess,Mata kuliah menerapkan standard Online Learning,TW-3,%,,,,,,,
InternalBusinessProcess,Jumlah learning factory*,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah sertifikasi (untuk mahasiswa),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Penelitian Dosen TRL >=4 Granted PPM,TW-3,Jumlah,10.0,30.0,48.0,110.0,80.0,https://telkomuniversityofficial-my.sharepoint.com/:x:/g/personal/pppi_365_telkomuniversity_ac_id/EYGRi_DMbItOqQ_ogON6OCsBFJhcomA5FNFw2N0b9vhkpg?e=IkJ52h&nav=MTVfezAyQTVBRkY2LTFDQTEtNDBDQy1BRUZELTczQTY1MTk1MkJBMn0,
InternalBusinessProcess,Tim Startup Berbasis Inovasi yang baru,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah HKI yang diimplementasikan di industri*,TW-3,Jumlah,,,,,,,
